EMSR,AOI,folderType,folderPath,activationDate,suggested_startDate,suggested_endDate
EMSR614,AOI01,optimal,dataOptimal/,2022-07-27T17:30:00.000,2022-07-27T17:30:00Z,2022-08-26T17:30:00Z
EMSR619,AOI01,optimal,dataOptimal/,2022-08-09T00:00:00.000,2022-08-09T00:00:00Z,2022-10-08T00:00:00Z
EMSR620,AOI01,optimal,dataOptimal/,2022-08-07T00:00:00.000,2022-08-07T00:00:00Z,2022-10-06T00:00:00Z
EMSR623,AOI01,optimal,dataOptimal/,2022-08-13T13:30:00.000,2022-08-13T13:30:00Z,2022-09-12T13:30:00Z
EMSR624,AOI01,optimal,dataOptimal/,2022-08-10T10:00:00.000,2022-08-10T10:00:00Z,2022-09-09T10:00:00Z
EMSR625,AOI01,optimal,dataOptimal/,2022-08-13T19:30:00.000,2022-08-13T19:30:00Z,2022-10-12T19:30:00Z
EMSR625,AOI02,optimal,dataOptimal/,2022-08-13T19:30:00.000,2022-08-13T19:30:00Z,2022-10-12T19:30:00Z
EMSR626,AOI01,subOptimal_cloudyClean,dataSuboptimal/cloudyClean/,2022-08-19T15:00:00.000,2022-08-22T15:00:00Z,2022-10-22T15:00:00Z
EMSR627,AOI01,optimal,dataOptimal/,2022-08-18T09:30:00.000,2022-08-18T09:30:00Z,2022-10-17T09:30:00Z
EMSR628,AOI01,optimal,dataOptimal/,2022-08-21T07:30:00.000,2022-08-31T07:30:00Z,2022-10-20T07:30:00Z
EMSR628,AOI01,subOptimal_smoke,dataSuboptimal/smoke/,2022-08-21T07:30:00.000,2022-08-21T07:30:00Z,2022-09-20T07:30:00Z
EMSR632,AOI01,optimal,dataOptimal/,2022-09-08T00:00:00.000,2022-09-13T00:00:00Z,2022-10-08T00:00:00Z
EMSR632,AOI01,subOptimal_smoke,dataSuboptimal/smoke/,2022-09-08T00:00:00.000,2022-09-08T00:00:00Z,2022-10-08T00:00:00Z
EMSR633,AOI01,optimal,dataOptimal/,2022-09-12T00:00:00.000,2022-09-12T00:00:00Z,2022-10-12T00:00:00Z
EMSR638,AOI01,optimal,dataOptimal/,2022-10-22T10:30:00.000,2022-11-11T10:30:00Z,2022-12-28T10:30:00Z
EMSR638,AOI01,subOptimal_smoke,dataSuboptimal/smoke/,2022-10-22T10:30:00.000,2022-10-22T10:30:00Z,2022-11-21T10:30:00Z
